Class A (Geometric),Class B (Universal)
0.00039948917378533866,0.29234360443978613
0.00039942239394822135,0.27777747784880835
0.00039928311538845645,0.2707676441534655
0.0003991754893954661,0.2826358861174483
0.000399077593810438,0.2928780801286614
0.0003990105732011604,0.3216041727948245
0.0003989243814010265,0.24190097275687267
0.000398870654500426,0.3042960295047711
0.00039879156173990574,0.30287884777912377
0.00039864940410694886,0.3123364631505038
0.00039856984997345917,0.3087171322233472
0.000398557538976017,0.2772737105065581
0.0003985152554417623,0.2858715294528999
0.0003984384756032469,0.22168850685243496
0.00039836504109965056,0.20149386208582795
0.00039837625447479723,0.2155700969419814
0.0003983611176483268,0.23309476103179633
0.0003983978321144256,0.208163368470365
0.0003983303874790176,0.21113304977711253
0.0003983365943711874,0.21213276812716067
0.00039828157988635395,0.23333632444928384
0.0003982076018750748,0.2572337004644623
0.00039818318613847457,0.2398237654028847
0.0003981830869796155,0.23990916725979394
0.00039816306109638033,0.20748556298910711
0.0003981742336934551,0.1916437507487367
0.00039814025781512006,0.2276569349442885
0.0003980682938270194,0.18985081613329696
0.00039803744836661544,0.20860822326886724
0.000397979418312059,0.22915098363448494
0.00039786561729320187,0.19632630479481283
0.000397877278390217,0.19236013416612177
0.0003977574925534128,0.23270796581680234
0.00039769857403852726,0.21363727230379556
0.0003975463267438161,0.18826334437091968
0.0003975144518450898,0.25780938794406644
0.0003973978042904835,0.2594447072169288
0.0003973550382681268,0.21707720734145433
0.00039737654475578086,0.2422281106273301
0.0003974047491687541,0.20301868834219752
0.0003973854053709538,0.2293973232578824
0.0003973866959988065,0.2095791561817864
0.00039726250674958533,0.22335040607767642
0.0003972237247336734,0.21195252124132163
0.0003972819794422468,0.2070380913096161
0.0003972259626967659,0.2082534206850941
0.0003972505588191224,0.23298619786090735
0.0003971243920286998,0.2374166832330329
0.000397093636414768,0.20102328066524322
0.0003970241610352754,0.21919538323839236
0.00039696240740828495,0.25763526240151946
0.0003968595116275079,0.20110880875798698
0.0003966741707231717,0.22293341935968464
0.0003966778724861799,0.2064424948373068
0.0003966801773811791,0.21890019121210844
0.00039670494795812584,0.22311929880275008
0.000396618478726215,0.26075307133946757
0.00039653562964568894,0.2665051238580401
0.00039654459497772397,0.261966498478094
0.0003965815301618946,0.25606098666103
0.00039664786604806716,0.24414076508279345
0.0003967194510940918,0.24101257527084696
0.00039651981709588815,0.2368360859968786
0.00039649994118708847,0.26696751454458717
0.0003965123223547332,0.2496497313758896
0.0003964438362322967,0.2752586700275012
0.00039640262814793527,0.26732113541804126
0.0003963534385888537,0.28555887707859967
0.00039639683863993796,0.3471188509976376
0.0003962698236260769,0.30385948819128
0.00039632186487910273,0.3045122557206442
0.0003961005020493359,0.2937470994583038
0.000396053697844656,0.3007445948923668
0.00039614893666378086,0.2966272984339681
0.00039619052016262623,0.23885436388283451
